,,Name,상장주식수(주),최대주주등-대표주주명(Q),최대주주등-세부주주수(Q)(명),최대주주및특별관계자 보유주식수(보통)(주),최대주주및특별관계자 보유주식수(우선)(주),최대주주등-잠재주식수(Q),최대주주등-주권의 지분율(Q)(%),최대주주등-주식등 총지분율(Q)(%)
19680,,대교,84702850,대교홀딩스,16,54326099,3732230,,64.13,64.13
23410,,유진기업,76541155,유경선,19,29960815,,,39.68,39.68
5880,,대한해운,24426504,티케이케미칼,18,12271609,,,50.24,50.24
267980,,매일유업,7608398,매일홀딩스(주),12,4534219,,,59.59,59.59
108670,,LG하우시스,8967670,(주)엘지,2,3013184,1607,,33.6,33.6
42700,,한미반도체,63582100,곽동신,9,28309641,,,44.52,44.52
183190,,아세아시멘트,3895809,아세아(주),12,2014163,,,61.11,61.11
105630,,한세실업,40000000,한세예스24홀딩스,11,22483793,,,56.21,56.21
272290,,이녹스첨단소재,8969506,이녹스,8,2976177,,13984,34.36,34.53
5500,,삼진제약,13900000,조의환,2,1786702,,,12.85,12.85
31440,,신세계푸드,3872480,이마트,4,2148743,,,55.49,55.49
4430,,송원산업,24000000,송원물산(주),7,8532652,,,35.55,35.55
53800,,안랩,10013855,안철수,3,2860500,,,28.57,28.57
95610,,테스,19768226,주숭일,12,6239651,,,31.56,31.56
48530,,인트론바이오,15038462,윤성준,5,3276541,,,21.79,21.79
80160,,모두투어,18900000,우종웅,14,2911795,,,15.41,15.41
271980,,제일약품,14704872,한승수,7,4572493,,,43.53,43.53
5180,,빙그레,9851241,김호연,4,4028317,,,40.89,40.89
53210,,스카이라이프,47821966,(주)케이티,2,23911000,,,50,50
25620,,제이준코스메틱,26484920,에프앤리퍼블릭,7,4675252,,35363,17.65,17.79
67630,,에이치엘비생명과학,26676909,에이치엘비,1,2089553,,,7.83,7.83
31980,,피에스케이,20331604,(주)금영,2,6535917,,,32.15,32.15
123890,,한국자산신탁,102739889,(주)엠디엠,3,49771672,,,53.23,53.23
31390,,녹십자셀,11695939,녹십자,3,3516437,,,30.07,30.07
35600,,KG이니시스,27904434,KG케미칼,9,12618280,,34974,45.25,45.32
144510,,녹십자랩셀,10554054,녹십자,22,5510330,,,52.21,52.21
112610,,씨에스윈드,17285715,김성권,18,8926015,,8500,51.64,51.69
58820,,CMG제약,108887244,차바이오텍,3,23211676,,160000,21.32,21.45
39840,,디오,15171403,김진철,7,2149439,,200000,14.17,15.28
2020,,코오롱,12061185,이웅열,9,6085144,,498750,50.45,52.42
10050,,우리종금,674203406,(주)우리은행,2,403463166,,,59.84,59.84
86450,,동국제약,8892000,권기범,7,4133401,,,46.48,46.48
192530,,광주은행,51316057,JB금융지주,2,29238500,,,56.98,56.98
38500,,삼표시멘트,107357173,삼표,17,69928969,,,65.14,65.14
11690,,유양디앤유,55792109,유양투자1호조합,2,7568421,,,14.46,14.46
2240,,고려제강,20000000,홍영철,8,12316187,,,68.42,68.42
108320,,실리콘웍스,16264300,(주)엘지,3,5402980,,,33.22,33.22
29530,,신도리코,10080029,우석형,19,4876538,,,48.38,48.38
89600,,나스미디어,8754691,(주)케이티,2,5241642,,,59.87,59.87
58650,,세아홀딩스,4000000,이태성,16,3599056,,,89.98,89.98
218410,,RFHIC,22248959,조덕수,8,9659590,,51558,43.83,44.07
1720,,신영증권,9386237,원국희,19,2505378,750045,,26.69,26.69
92040,,아미코젠,19191510,신용철,2,1572112,,,16.38,16.38
17810,,풀무원,3809095,남승우,13,2439200,,,64.04,64.04
25770,,한국정보통신,38812743,박헌서,6,25607042,,,65.98,65.98
43150,,바텍,14854256,바텍이우홀딩스,4,7919390,,,53.31,53.31
33290,,코웰패션,90500234,대명화학,3,64032921,,,70.75,70.75
3530,,한화투자증권,172442511,한화첨단소재,6,56891133,364652,,32.99,32.99
